city_id,year,D10_1_1,D10_1_1_1,D10_1_1_1_1,D10_1_1_1_2,D10_1_1_1_3,D10_1_2,D10_1_3,D10_1_4,D10_1_5,D10_2_1,D10_2_2,D10_2_3,D10_2_4,D10_2_5,D10_3_1,D10_3_2,D10_3_3,D10_3_4,D10_3_5,D10_4,D10_5,D10_6,D10_6_1,D11_1,D11_4,D11_5,D11_7,D11_8,D12_18,D12_25,D12_26,D12_27,D12_8,D14_1,D14_11,D14_12,D14_13,D14_14,D14_14_1,D14_14_2,D14_14_3,D14_15,D14_16,D14_16_1,D14_2,D14_4,D14_5,D14_6,D14_8,D14_9,D15_1,D15_3,D15_4,D15_5,D15_6,D15_7,D15_8,D15_9,D16_1,D16_10,D16_11,D16_12,D16_12_2,D16_13,D16_15,D16_16_1,D16_16_2,D16_17,D16_1_1,D16_1_2,D16_1_3,D16_1_4,D16_2,D16_2_1,D16_2_2,D16_2_3,D16_2_4,D16_3,D16_4,D16_4_1,D16_4_2,D16_4_3,D16_5,D16_6,D16_7,D16_8,D16_9,D17_0,D17_0_1,D17_1,D17_1_1,D17_2_1,D17_2_2,D17_2_3,D17_2_4,D17_2_5,D17_2_6,D17_3_1,D17_3_2,D17_3_3,D17_3_4,D17_3_5,D17_3_6,D17_4,D17_5,D17_6,D18_1,D18_10,D18_13,D18_14,D18_2,D18_3_1,D18_3_10,D18_3_2,D18_3_3,D18_3_4,D18_3_5,D18_3_5_1,D18_3_6,D18_3_7,D18_3_8,D18_3_8_1,D18_3_9,D18_5_1,D18_5_1_1,D18_5_2,D18_5_3,D18_5_4,D18_5_5,D18_5_6,D18_6,D18_7,D18_8,D18_9,D19_1,D19_10,D19_11,D19_12_1,D19_12_2,D19_13,D19_14,D19_14_1,D19_14_2,D19_14_3,D19_15,D19_16_1,D19_16_2,D19_17_1,D19_17_2,D19_17_3,D19_17_4,D19_17_5,D19_18_1,D19_18_2,D19_18_3,D19_18_4,D19_19_1,D19_19_2,D19_19_3,D19_2,D19_20,D19_21,D19_22,D19_23,D19_3,D19_3_1,D19_4,D19_5,D19_5_1,D19_5_1_1,D19_5_2,D19_6,D19_7_1,D19_8,D19_8_1,D19_9,D1_1,D1_10,D1_13,D1_15,D1_16,D1_17,D1_18,D1_19,D1_1_1,D1_2,D1_3,D1_3_1,D1_4,D1_5,D1_8,D1_9,D20_1,D20_2_1,D20_2_2,D20_3,D20_4,D20_5,D20_6,D20_7,D20_8,D21_1,D21_1_1,D21_1_2_1,D21_3,D21_4,D2_0_1,D2_0_2,D2_0_4,D2_0_5,D2_0_6,D2_10,D2_11,D2_1_2,D2_1_3,D2_1_4,D2_1_5,D2_3,D31_1,D31_2_1,D31_9,D3_1,D3_10,D3_11,D3_11_2,D3_12,D3_13,D3_14,D3_15,D3_16,D3_17,D3_18,D3_19,D3_1_1,D3_2,D3_20,D3_21,D3_5,D3_6,D3_7,D3_8,D3_9,D4_1,D4_2,D4_2_1,D4_4,D4_5,D4_6,D4_6_1,D4_7,D4_8,D4_9,D5_1,D5_2,D5_3,D5_3_1,D5_4,D5_5,D5_6,D5_7,D5_8,D61_1_1,D6_1,D6_1_1,D6_1_10,D6_1_11,D6_1_12,D6_1_13,D6_1_2,D6_1_3_1,D6_1_3_2,D6_1_3_3,D6_1_3_4,D6_1_3_5,D6_1_9,D6_2_1,D6_2_2,D6_2_2_1,D6_2_2_12,D6_2_2_13,D6_2_2_2,D6_2_2_2_1,D6_2_2_2_2,D6_2_2_2_3,D6_2_2_2_4,D6_2_3,D6_3,D6_4,D6_4_1,D6_4_3,D7_1,D7_10,D7_11,D7_12,D7_13,D7_1_1,D7_1_2,D8_1,D8_10,D8_2,D8_3,D8_4,D8_7,D8_8,D9_1,D9_2,D9_3,D9_7,D9_8
115,2010,,,,,,,,,,,,,,,,,,,,,,,,189,0,155,344,1,38,0,38,0.6,0,0,2,0,0,0,,,,0,2,0,2,2,7,2,9,11,135,223,223,230,8,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6924,0,94,26,9303,366,0,1195,218,868,107,7,484,2,,,,107,,45,16,3.7,1,2,3,2.8,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23287,3,27,122,10.92,10.83,183,181.8,,28648,41924,,24199,24199,9,1,,,,,,,,,,,,,,,457,601,,,,26,2.08,0,0,0,0,,186,,88305,3.15,0,55,,104,54,71,4,9808,0,0,,1.3,8,26,6.5,9,,9,13,9,2,4430,,4516,,,,3.46,26,,1416,1430,,,,5.06,2,26,,,183,135,6,73,21,83,48,24,119,37,3,,0,113,31,19,2,25,12,1,23,6,1,39,951,1057,,,56077,172,30480,2.1,7.4,,181,9695,13.51,2654.74,830,251,36503,4.3,1101,56,7,476,2.5
115,2011,,,,,,,,,,,,,,,,,,,,,,,,199,0,150,349,1,73,11,84,0.4,0,0,5,0,0,0,,,,0,2,0,1,1,4,0,4,5,67,109,210,230,3,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6966,0,101,29.5,9552,463,0,1224,308,741,124,2,496,2,,,,136,,20,20,5.5,0,0,3.4,2.4,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23232,3,27,122,8.29,8.28,185,185.5,,28644,42008,,24170,24170,9,1,,,,,,,,,,,,,,,466,579,,,,26,3.19,0,0,0,0,,186,,88305,2.825,0,60,,80,49,49,0,8283,0,0,,1.195,7,29.5,3.58,16,,20,8,8,2.1,5119,,5394,,,,4.41,26,,2436,2390,,,,4.41,2.05,26,,,185,136,6,73,21,85,49,25,120,37,3,,0,113,31,19,2,25,12,0,24,6,1,41,951,1057,,,36566,200.7,30206,1.9,4.52,,161,10015,9.55,2649,992,229,37715,3.85,1054,44.4,9,477,1.35
115,2012,,,,,,,,,,,,,,,,,,,,,,,,164,0,112,276,0.9,61,11,72,0.4,0,0,3,3,0,0,,,,0,1.4,0,2,2,4,2,6,8,66,97,208,230,2,2,3,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7009,0,116,26,9733,472,0,999,259,734,115,1,525,2,2236,334,1853,155,,8,27,6,1,1.5,3.2,1.1,0.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22998,3,27,122,9.38,9.38,173,173.4,,28496,41860,,23961,23961,9,1,,,,,,,,,,,,,,,410,635,,,,26,3.35,208,24,29,16,1.99,157,,86266.8,2.825,0,53,,120,51,52,1,7499,0,88,,1.195,3,26,2.47,12,,11,8,10,1.95,6086,,5709,,,,10.55,26,,3094,3084,,,,10.55,1.95,26,,,173,125,3,79,10,81,48,16,112,42,3,,0,104,29,17,2,27,12,0,24,5,0,40,940,1003,,,35113,187,30579,2.05,5.49,2386,234,8995,15.35,945.5,618,104,36171,4.05,1039,43.54,10,462.6,1.25
115,2013,,,,,,,,,,,,,,,,,,,,,,,,157,0,141,298,1,98,6,104,0.4,0,0,0,1,100,1,,,,0,1.6,0.5,3,3,2,4,6,9,108,131,208,230,3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7069,0,120,26,10023,424,0,1111,287,754,131,4,690,1,2487,359,1808,128,,10,23,6.9,0,0,3.2,1.1,0.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22951,3,27.48,121.26,8.15,7.41,175,176.4,,28450,41782,,23928,23928,9,1,,,,,,,,,,,,,,,459,546,125,462,,26,2.46,184,13,66,24,1.99,158,,88614.38,1.63,1,61,,105,28,60,5,7471,1,105,,1.17,12,26,2.5,10,,11,11,11,1.95,5500,32,5542,,,,7.28,26,,2052,2052,,,,7.28,1.95,26,,,175,126,3,77,10,83,49,16,114,44,1,,2,106,29,17,2,27,12,0,24,5,0,40,940,1126,,,70196,413.1,30970,2.05,15.33,6046,148,17814,13.36,2588.9,3737,301,37662,4.05,987,43.56,10,408.3,1.25
115,2014,,,,,,,,,,,,,,,,,,,,,,,,131,0,138,269,1,93,0,93,0.4,0,0,0,0,100,1,,,,1,1,0.5,2,2,2,3,5,7,78,93,208,230,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7075,0,124,26,10379,485,0,1051,295,747,150,0,696,0,2297,337,2052,118,,7,23,11.6,0,0,3.2,1.1,0.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22829,3,27.48,121.26,7.4,7,175,158,,28379,41706,,23826,23826,9,1,,,,,,,,,,,,,,,496,612,224,513,1375,26,2.5,248,31,85,54,1.99,158,81.117,84469.42,1.63,0,54,,120,40,49,0,7227,4,135,,1.17,8,26,2.57,9,,19,14,7,1.95,5987,94,6382,,,,5.29,26,,2547,2575,,,,5.37,1.95,26,,19,175,126,3,78,10,83,49,18,115,41,1,,1,106,29,17,2,27,12,0,25,4,0,40,970,1140,0,,41048,212.9,31320,2.05,5.03,2190,183,20804,10.47,2801,479,234,38994,4.05,973,42.6,11,445,1.25
115,2015,,,,,,,,,,,,,,,,,,,,,,,,163,0,125,288,1,52,2,54,0.4,0,0,1,2,100,0,,,,1,1.8,0.2,1,1,2,0,2,3,91,108,208,230,4,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7066,0,149,26,10530,298,1425,727,294,646,156,18,489,0,1869,285,2073,126,,3,18,11.75,0,0,3.2,1.1,0.2,1.5,3,38,1,487,,136,9,1.5,1.5,6,3956,17,15,13,2,991,29,1.3,1656,399,400,3.95,0,0.5,,7482,955,32,9,2.75,897,,238,,56,,71,0,,31,,2,22697,3,27.48,121.25,5.6,5.1,174,173.66,,28312,41556,,23716,23716,9,1,,,,,,,,,,,,,,,494,581,226,538,1404,26,3.03,147,16,78,46,1.99,162,84.24,91785.96,1.63,0,52,,128,47,47,0,7683,2,139,,1.17,10,26,2.54,14,,10,13,13,1.95,7472,195,7508,,,,7.51,26,,2703,2800,,,,7.54,1.95,26,,21,174,126,2,78,12,81,48,15,117,39,3,3,1,106,28,16,2,25,12,0,25,3,0,40,970,1035,0,,50503,276.1,31602,2.05,7.04,3546,185,18672,13.36,2783,395,448,40263,4.05,884,53.6,11,435,1.25
115,2016,,,,,,,,,,,,,,,,,,,,,,,,164,0,113,277,1,44,6,50,0.4,0,1,1,3,100,3,2,320,,0,1.8,0.2,0,1,2,2,4,5,94,104,208,230,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7027,0,158,26,10580,274,1503,708,299,649,147,4,592,0,1964,340,2231,114,,6,23,10.7,1,10,3.2,1.1,0.2,1.5,3,35,4,,,105,9.6,1.5,1,7.1,4468,9,20,16,4,1192,30,1.3,319,418,428,3.95,1,0.5,,7600,257,80,3,1.65,510,,232,,57,,78,0,,29,,3,22666,3,27.48,121.24,4.9,4.5,173.4,175.1,440,28270,42246,603,24132,24132,9,1,,,,,,,,,,,,,,,482,611,179,475,1423,26,0.57,131,12,76,72,1.99,174,92.22,88952.7,1.63,3,54,,146,64,66,2,7873,1,129,,0.74,6,26,2.26,9,,17,15,6,1.95,6332,115,6370,,,,5.3,26,,2627,2662,,,,5.56,1.95,26,,21,174,126,2,78,12,81,48,18,114,37,5,7,1,106,28,16,2,25,12,0,25,2,1,40,965,1127,14,,45410,258.8,31854,2.05,5.11,3173,217,15614,11.05,3074,546,694,41833,4.05,796,57,9,429,1.25
115,2017,,,,,,,,,,,,,,,,,,,,,,,,163,0,121,284,1,43,11,54,0.4,0,1,1,1,100,3,1,367,,0,1.6,0.1,0,1,2,5,7,8,95,102,210,230,4,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,797,70,157,273,222,5,28,1,12,1,14,0,793,0,3.21,7059,0,165,26,10481,319,1376,711,256,547,148,0,544,0,1805,286,1914,111,,1,23,15.4,0,0,3.2,1.1,0.2,1.5,3,40,1,,,111,8.3,1.5,1,5.8,4557,14,24,21,8,742,32,1.5,305,467,509,3.95,0,0.35,,7607,168,48,3,1.9,413,,217,,68,,86,0,,26,,4,22572,3,27.48,121.23,4.4,3.8,176,175.42,454,27734,41552,628,23622,23622,9,1,,,,,,,,,,,,,,,492,630,194,504,1385,26,2.4,69,15,53,75,1.99,175.4,92.962,98983.19,1.63,3,50,,131,48,54,4,7244,4,143,,0.74,6,26,4.16,14,,19,17,12,1.95,6212,61,6369,,364,51,7.31,26,20,3332,3453,,26,2.6,8.33,1.95,26,1655,22,177,127,3,81,14,78,50,11,93,56,17,8,1,106,28,16,2,25,12,0,23,3,2,43,760,834,15,,47521,243,32047,2.05,9.47,3805,210,13091,10.34,2756,469,135,43449,4.05,836,58.9,9,432,1.25
115,2018,11067,9264,1,0,0,126,327,572,670,34,2,7,18,6,144,6,31,13,43,12,6947,2.9,0.8,151,0,132,283,1,44,5,49,0.4,0,1,0,0,100,1,1,445,331,0,2.5,0.1,0,1,2,6,8,9,123,151,210,231,5,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1151,66,248,232,437,6,89,1,6,25,50,0,1333,0,2.8,7071,0,169,26,10631,325,1254,633,239,482,160,11,464,0,1651,268,1818,121,,0,18,10.5,0,0,2.5,0.8,0.2,1.5,3,40,0,0,337,97,9,1.5,1,6.5,4423,11,23,21,9,1177,32,1.4,296,222,485,3.7,1,0.35,,7446,247,76,5,2.05,433,,93,,62,5,86,0,,17,19,1,22432,3,27.48,121.23,3.5,3.2,180.5,178.1,482,27531,41426,653,23444,23444,9,1,,,,,,,,,,,,,,,467,585,165,489,1363,26,4.28,72,14,62,62,1.99,178.1,94.393,112939.5,1.63,3,63,,117,50,39,7,6566,3,154,,0.72,6,26,4.42,9,,14,10,9,2,5326,53,5521,519,331,47.7,4.59,26,20,2673,2661,27,25,2.5,4.59,2,26,1403.7,20,181,132,3,81,15,81,49,13,101,51,16,8,1,108,28,16,1,27,12,0,23,3,2,45,835,720,38,,47030,530.1,32296,2.7,8.31,3965,365,16303,9.44,2978,492,184,45070,4.05,712,56.7,8,392,1.25
115,2019,10992,10382,1,2,2,144,1195,51,42,28,0,6,2,10,81,9,40,10,5,12,8425,2.9,2.2,152,0,146,298,1,63,7,70,0.4,0,1,1,1,100,1,7,415,163,0,2.5,0.1,0,1,1,6,7,8,118,150,210,231,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7041,781,50,196,230,260,6,74,6,8,10,42,0,1147.3,0,2.9,7068,0,173,26,10743,302,1306,580,196,540,175,59,518,0,1639,289,1667,93,6,0,24,26.8,2,25,2.5,0.8,0.2,1.5,3,31,4,,323,89,8.86,1.5,1,6.36,5007,7,15,21,7,1484,30,1.4,71,761,475,3.75,0,0.35,,7677,220,30,0,2,332,,135,244,71,4,29,0,,25,23,3,22290,3,27.48,121.23,3.7,3.4,184.1,178.9,525,27451,41436,724,23376,23376,9,1,,,,,,,,,,,,,,,475,601,180,459,1317,26,2.07,49,28,72,54,1.99,178.9,94.638,119476.08,1.68,0,61,40,161,31,46,1,6311,9,130,,0.72,12,26,4.24,12,4,13,9,8,2.075,4325,38,4327,468,270,40,3.41,26,150,2154,2173,27,26,2.6,3.41,2.05,26,1101.4,23,191,149,10,82,15,83,42,10,100,64,17,13,1,109,28,17,1,27,11,0,24,2,2,54,987,599,57,,43554,332.4,32547,2.75,2.44,2733,230,32740,8.52,2750,196,126,46720,4.05,589,52.4,6,338,1.25
