city_id,nazev,skupina,kraj
1,Chomutov,A,Ustecky kraj
2,Jihlava,A,Kraj Vysocina
3,Decin,A,Ustecky kraj
4,Ostrava,A,Moravskoslezsky kraj
5,Kladno,A,Stredocesky kraj
6,Zlin,A,Zlinsky kraj
7,Plzen,A,Plzensky kraj
8,Havirov,A,Moravskoslezsky kraj
9,Teplice,A,Ustecky kraj
10,Prerov,A,Olomoucky kraj
11,H. Brod,V,Kraj Vysocina
12,Hodonin,B,Jihomoravsky kraj
13,Cheb,B,Karlovarsky kraj
14,Kromeriz,B,Zlinsky kraj
15,Pisek,B,Jihocesky kraj
16,Sumperk,B,Olomoucky kraj
17,Tabor,B,Jihocesky kraj
18,Uhersky Brod,B,Zlinsky kraj
19,Vsetin,B,Zlinsky kraj
21,Valasske Mezirici,C,Zlinsky kraj
22,Strakonice,C,Jihocesky kraj
23,Otrokovice,C,Zlinsky kraj
24,Nymburk,C,Stredocesky kraj
25,Louny,C,Ustecky kraj
26,Hranice,C,Olomoucky kraj
27,Hlucin,C,Moravskoslezsky kraj
28,Beroun,B,Stredocesky kraj
29,Litvinov,C,Ustecky kraj
30,Dacice,E,Jihocesky kraj
31,Boskovice,D,Jihomoravsky kraj
32,Kralovice,D,Plzensky kraj
33,Varnsdorf,D,Ustecky kraj
34,Novy Bydzov,D,Kralovehradecky kraj
35,Vimperk,D,Jihocesky kraj
36,Ostrov,D,Karlovarsky kraj
37,Vrchlabi,D,Kralovehradecky kraj
38,Prelouc,D,Pardubicky kraj
39,Zamberk,D,Pardubicky kraj
40,Stribro,D,Plzensky kraj
41,Moravske Budejovice,E,Kraj Vysocina
42,Vitkov,E,Moravskoslezsky kraj
43,Sternberk,E,Olomoucky kraj
44,Kraliky,D,Pardubicky kraj
45,Rosice,E,Jihomoravsky kraj
46,Luhacovice,E,Zlinsky kraj
47,Zabreh,E,Olomoucky kraj
48,Svetla nad Sazavou,V,Kraj Vysocina
49,Lanskroun,D,Pardubicky kraj
50,Pelhrimov,C,Kraj Vysocina
51,Cernosice,B,Stredocesky kraj
52,Kurim,E,Jihomoravsky kraj
53,Jindrichuv Hradec,C,Jihocesky kraj
54,Kyjov,C,Jihomoravsky kraj
55,Nova Paka,D,Kralovehradecky kraj
56,Jablonec nad Nisou,A,Liberecky kraj
57,Jablunkov,E,Moravskoslezsky kraj
58,Uherske Hradiste,B,Zlinsky kraj
59,Bystrice nad Pernstejnem,V,Kraj Vysocina
60,Humpolec,D,Kraj Vysocina
61,Chotebor,E,Kraj Vysocina
62,Namest nad Oslavou,V,Kraj Vysocina
63,Nove Mesto na Morave,E,Kraj Vysocina
64,Pacov,V,Kraj Vysocina
65,Telc,V,Kraj Vysocina
66,Velke Mezirici,V,Kraj Vysocina
67,Zdar nad Sazavou,C,Kraj Vysocina
68,Moravska Ostrava a Privoz,C,Moravskoslezsky kraj
69,Ostrava - Jih,A,Moravskoslezsky kraj
