agenda,dkod,nazev,metodika
1,D1.1,Počet obyvatel obce VČETNĚ cizinců,"Počet obyvatel obce - správní obvod obce s pověřením I. stupně; k 31.12. sledovaného roku; zdroje dat - ohlašovna; http://www.mvcr.cz/clanek/statistiky-pocty-obyvatel-v-obcich.aspx - Informativní počet cizinců v obcích a městských částech (počet cizinců celkem, tj. trvalý + přechodný pobyt). Údaje z této agendy vstupují do řady výpočtů a případné chyby mohou zásadně ovlivnit vaše výsledky v jiných agendách !!!"
1,D1.1.1,Z TOHO počet cizinců s trvalým a přechodným pobytem v obci,"Zdroj dat: http://www.mvcr.cz/clanek/statistiky-pocty-obyvatel-v-obcich.aspx - Informativní počet cizinců v obcích a městských částech (počet cizinců celkem, tj. trvalý + přechodný pobyt). K 31.12. sledovaného roku."
1,D1.2,Počet obyvatel správního obvodu obce s pověřeným obecním úřadem VČETNĚ cizinců,"Počet obyvatel správního obvodu obce s pověřením II. stupně; k 31.12. sledovaného roku; zdroj dat - uveďte poslední aktuální údaj, který máte k dispozici (WYSE k datu ""překlopení"" na IS C227, vlastní evidence na základě oslovení obcí nebo poslední údaj Českého statistického úřadu (ČSÚ uvádí počty obyvatel včetně cizinců)). !!! Údaje z této agendy vstupují do řady výpočtů a případné chyby mohou zásadně ovlivnit vaše výsledky v jiných agendách !!! Dále: http://www.mvcr.cz/clanek/statistiky-pocty-obyvatel-v-obcich.aspx - Informativní počet cizinců v obcích a městských částech (počet cizinců celkem, tj. trvalý + přechodný pobyt)."
1,D1.3,Počet obyvatel správního obvodu obce s rozšířenou působností VČETNĚ cizinců,"Počet obyvatel správního obvodu obce s pověřením III. stupně; k 31.12. sledovaného roku; zdroj dat - uveďte poslední aktuální údaj, který máte k dispozici (WYSE k datu ""překlopení"" na IS C227, vlastní evidence na základě oslovení obcí nebo poslední údaj Českého statistického úřadu (ČSÚ uvádí počty obyvatel včetně cizinců)). V případě, že vyplňujete za obec II. typu - vyplňte počet obyvatel ""dvojkového"" správního obvodu. Za městské části, prosím vyplňte včetně cizinců. !!! Údaje z této agendy vstupují do řady výpočtů a případné chyby mohou zásadně ovlivnit vaše výsledky v jiných agendách !!! Dále: http://www.mvcr.cz/clanek/statistiky-pocty-obyvatel-v-obcich.aspx - Informativní počet cizinců v obcích a městských částech (počet cizinců celkem, tj. trvalý + přechodný pobyt)."
1,D1.3.1,Z TOHO počet cizinců ve správním obvodu obce s rozšířenou působností,"Počet cizinců ve správním obvodu obce s rozšířenou působností k 31.12 sledovaného roku (nebo k 1.1. roku následujícího). Zdroj dat: http://www.mvcr.cz/clanek/statistiky-pocty-obyvatel-v-obcich.aspx - Informativní počet cizinců v obcích a městských částech. Údaje z této agendy vstupují do řady výpočtů a případné chyby mohou zásadně ovlivnit vaše výsledky v jiných agendách !!! Dále: http://www.mvcr.cz/clanek/statistiky-pocty-obyvatel-v-obcich.aspx - Informativní počet cizinců v obcích a městských částech (počet cizinců celkem, tj. trvalý + přechodný pobyt)."
1,D1.4,Počet obyvatel správního obvodu obce s působností matričního úřadu VČETNĚ cizinců,"Počet obyvatel správního obvodu obce pro který obec zajišťuje výkon přenesené působnosti v oblasti matričního úřadu; k 31.12. sledovaného roku; zdroj dat - uveďte poslední aktuální údaj, který máte k dispozici (WYSE k datu ""překlopení"" na IS C227, vlastní evidence na základě oslovení obcí nebo poslední údaj Českého statistického úřadu (ČSÚ uvádí počty obyvatel včetně cizinců)). PROSÍME, získejte/ověřte si tento údaj u PRACOVNÍKŮ MATRIKY. !!! Údaje z této agendy vstupují do řady výpočtů a případné chyby mohou zásadně ovlivnit vaše výsledky v jiných agendách !!! Dále: http://www.mvcr.cz/clanek/statistiky-pocty-obyvatel-v-obcich.aspx - Informativní počet cizinců v obcích a městských částech (počet cizinců celkem, tj. trvalý + přechodný pobyt)."
1,D1.5,Počet obyvatel správního obvodu obce s působností stavebního úřadu VČETNĚ cizinců,"Počet obyvatel správního obvodu obce pro který obec zajišťuje výkon přenesené působnosti v oblasti stavebního úřadu (PRO ORP JE TO STEJNÝ ÚDAJ JAKO V POLI D1.3, U MĚSTSKÝCH ČÁSTÍ SE MŮŽE LIŠIT DLE PŮSOBNOSTI SVĚŘENÉ STATUTEM; k 31.12. sledovaného roku; zdroj dat - uveďte poslední aktuální údaj, který máte k dispozici (WYSE k datu ""překlopení"" na IS C227, vlastní evidence na základě oslovení obcí nebo poslední údaj Českého statistického úřadu (ČSÚ uvádí počty obyvatel včetně cizinců)). Údaje z této agendy vstupují do řady výpočtů a případné chyby mohou zásadně ovlivnit vaše výsledky v jiných agendách !!! Dále: http://www.mvcr.cz/clanek/statistiky-pocty-obyvatel-v-obcich.aspx - Informativní počet cizinců v obcích a městských částech (počet cizinců celkem, tj. trvalý + přechodný pobyt)."
1,D1.7,Počet obcí ve správním obvodu obce s pověřeným obecním úřadem,Počet obcí ve správním obvodu obce s pověřením II. stupně (tj. počet obcí v tzv. dvojkovém území); k 31.12. sledovaného roku; nezapočítává se obec za niž jsou data vyplňována. !!! Údaje z této agendy vstupují do řady výpočtů a případné chyby mohou zásadně ovlivnit vaše výsledky v jiných agendách !!!
1,D1.8,Počet obcí ve správním obvodu obce s rozšířenou působností,Počet obcí ve správním obvodu obce s pověřením III. stupně (tj. počet obcí v tzv. trojkovém území); k 31.12. sledovaného roku; nezapočítává se obec za niž jsou data vyplňována. !!! Údaje z této agendy vstupují do řady výpočtů a případné chyby mohou zásadně ovlivnit vaše výsledky v jiných agendách !!!
1,D1.9,Počet obcí v působnosti matričního úřadu pro něž obec (vyplňující) zajišťuje působnost matričního úřadu,"Počet obcí ve správním obvodu obce s pověřením III. stupně, pro něž obec (vyplňující) zajišťuje působnost matričního úřadu; k 31.12. sledovaného roku; nezapočítává se obec za niž jsou data vyplňována. PROSÍME, získejte/ověřte si tento údaj u PRACOVNÍKŮ MATRIKY!!! Údaje z této agendy vstupují do řady výpočtů a případné chyby mohou zásadně ovlivnit vaše výsledky v jiných agendách !!!"
