agenda,cislo,nazev,vzorec,druh,poznamka
1,1.1,Počet obyvatel obce VČETNĚ cizinců,D1.1,H,
1,1.1.1,Počet obyvatel obce BEZ cizinců,D1.1-D1.1.1,V,
1,1.1.2,% cizinců v obci,D1.1.1*100/D1.1,H,
1,1.2,Počet obyvatel správního obvodu obce s rozšířenou působností VČETNĚ cizinců,D1.3,H,
1,1.2.1,Počet obyvatel správního obvodu obce s rozšířenou působností BEZ cizinců,D1.3-D1.3.1,V,
1,1.2.2,% cizinců ve správním obvodu s rozšířenou působností,D1.3.1*100/D1.3,H,
1,1.3,% počtu obyvatel obce vzhledem ke správnímu obvodu s rozšířenou působností,D1.1*100/D1.3,H,
1,1.4.1,Počet obyvatel správního obvodu obce s působností matričního úřadu VČETNĚ cizinců,D1.4,V,
1,1.5.1,Počet obyvatel správního obvodu obce s působností stavebního úřadu VČETNĚ cizinců,D1.5,V,
1,1.6,Počet obyvatel na km2 území obce,D1.1/D1.13,H,
1,1.7,Počet obyvatel na km2 území správního obvodu obce s rozšířenou působností,D1.3/D1.15,H,
1,1.8,Počet obcí ve správním obvodu obce s rozšířenou působností,D1.8,V,
1,1.9,Podíl nezaměstnaných na obyvatelstvu v % v obci (nebo v okrese),D1.16,H,
1,1.10,Podíl nezaměstnaných na obyvatelstvu v % ve správním obvodu obce s rozšířenou působností (nebo v okrese),D1.17,H,
1,1.11,Průměrný fyzický počet zaměstnanců obce zařazených v obecním úřadě,D1.18,V,
1,1.12,Průměrný evidenční přepočtený počet zaměstnanců obce zařazených v obecním úřadě,D1.19,H,
1,1.13,Průměrný evidenční přepočtený počet zaměstnanců na 1 000 obyvatel správního obvodu,D1.19/(D1.3/1000),H,
1,1.14,Počet úvazků z přenesené působnosti k počtu obyvatel ORP (přepočteno na 1000 obyvatel ORP),D31.2.1/D1.3*1000,H,Úvazky s poměrovým přepočtem servisních a manažerských činností (agenda 31); bez obecní policie.
1,1.15,Počet úvazků ze samosprávy (vč. městské policie) k počtu obyvatel města (přepočteno na 1000 obyvatel města),(D31.1-D31.2.1+D61.1.1)/D1.1*1000,V,Úvazky s poměrovým přepočtem servisních a manažerských činností (agenda 31); bez obecní policie.
2,2.1,Počet pracovníků na 1000 obyvatel správního obvodu,D2.3/(D1.3/1000),H,
2,2.2.1,Počet sledovaných úkonů na pracovníka evidence obyvatel,(D2.0.1 + D2.0.2 + D2.0.5 + D2.1.2 + D2.1.3 + D2.1.4 + D2.1.5)/D2.3,H,
2,2.2.2,Struktura sledovaných úkonů v %,D2.0.1 + D2.0.2 + D2.0.5 + D2.1.2 + D2.1.3 + D2.1.4 + D2.1.5,H,
2,2.3.3,Saldo počtu přihlášení a odhlášení trvalého pobytu (celkem za správní obvod),D2.0.1-D2.0.2,V,
2,2.3.4,Změna počtu osob přihlášených k trvalému pobytu,D2.0.4,V,
2,2.5,Počet úředních hodin v týdnu,D2.10,V,
2,2.6,Průměrná čekací doba (v minutách),D2.11,V,
2,2.7.1,Provozní výdaje na jeden sledovaný úkon v Kč,((D31.9)/D31.1)/((D2.0.1 + D2.0.2 + D2.0.5 + D2.1.2 + D2.1.3 + D2.1.4 + D2.1.5)/D2.3)*1000,V,Provozní výdaje jsou převzaty z agendy č. 31.
2,2.7.2,Provozní výdaje na úvazek agendy v tis. Kč,D31.9/D31.1*D2.3,V,Provozní výdaje jsou převzaty z agendy č. 31.
2,2.8,Počet osob přihlášených k trvalému pobytu na ohlašovně obce na 1 000 obyvatel obce,D2.0.6/(D1.1/1000),H,
3,3.1.1,Počet pracovníků MATRIKY na 1000 obyvatel správního obvodu obce s působností matričního úřadu,D3.1/(D1.4/1000),H,
3,3.1.2,Počet úvazků vidimací a legalizací na 1000 obyvatel správního obvodu,(D3.1.1)/(D1.3/1000),H,
3,3.2,Vidimace a legalizace - počet případů na zaměstnance (úvazky za všechna pracoviště úřadu celkem),D3.16/D3.1.1,V,
3,3.3,Počet obcí v působnosti matričního úřadu,D1.9,H,
3,3.4,Počet matričních úřadů ve správním obvodu,D1.10,H,
