code,name,agenda,kind,unit
D1.1,Počet obyvatel obce VČETNĚ cizinců,1,dkod,
D1.1.1,Z TOHO počet cizinců s trvalým a přechodným pobytem v obci,1,dkod,
D1.2,Počet obyvatel správního obvodu obce s pověřeným obecním úřadem VČETNĚ cizinců,1,dkod,
D1.3,Počet obyvatel správního obvodu obce s rozšířenou působností VČETNĚ cizinců,1,dkod,
D1.3.1,Z TOHO počet cizinců ve správním obvodu obce s rozšířenou působností,1,dkod,
D1.4,Počet obyvatel správního obvodu obce s působností matričního úřadu VČETNĚ cizinců,1,dkod,
D1.5,Počet obyvatel správního obvodu obce s působností stavebního úřadu VČETNĚ cizinců,1,dkod,
D1.8,Počet obcí ve správním obvodu obce s rozšířenou působností,1,dkod,
D1.9,Počet obcí v působnosti matričního úřadu pro něž obec (vyplňující) zajišťuje působnost matričního úřadu,1,dkod,
D1.10,Počet matričních úřadů ve správním obvodu,1,dkod,
D1.13,Počet km čtverečních obce,1,dkod,
D1.15,Počet km čtverečních správního obvodu obce s rozšířenou působností,1,dkod,
D1.16,Podíl nezaměstnaných na obyvatelstvu v % v obci (nebo v okrese),1,dkod,
D1.17,Podíl nezaměstnaných na obyvatelstvu v % ve správním obvodu obce s rozšířenou působností (nebo v okrese),1,dkod,
D1.18,PRŮMĚRNÝ fyzický počet zaměstnanců obce zařazených v obecním úřadě,1,dkod,
D1.19,Průměrný evidenční přepočtený počet zaměstnanců obce zařazených v obecním úřadě,1,dkod,
D2.0.1,Počet přihlášení k trvalému pobytu z jiného správního obvodu obce III. typu,2,dkod,
D2.0.2,Počet odhlášení z trvalého pobytu ze správního obvodu obce III. typu,2,dkod,
D2.0.4,Změna počtu osob přihlášených k trvalému pobytu (hlášení vlastníkům),2,dkod,
D2.0.5,Počet odhlášení z trvalého pobytu v obci,2,dkod,
D2.0.6,Počet osob přihlášených k trvalému pobytu na ohlašovně obce,2,dkod,
D2.1.2,Počet zahájených správních řízení o zrušení trvalého pobytu,2,dkod,
D2.1.3,Počet nahlášení ukončení trvalého pobytu na území ČR,2,dkod,
D2.1.4,Počet nahlášení doručovacích adres dle § 10b zák. 133/2000 Sb.,2,dkod,
D2.1.5,Počet výpisů z informačního systému dle § 8 zák. 133/2000 Sb.,2,dkod,
D2.3,Počet zaměstnanců - pracovních úvazků v agendě evidence obyvatel celkem,2,dkod,
D2.10,Počet úředních hodin v týdnu,2,dkod,
D2.11,Průměrná čekací doba (v minutách),2,dkod,
D3.1,Počet zaměstnanců - pracovních úvazků v agendě matrika celkem POZOR!!! POUZE ZA MATRIKU NE VIDIMACE A LEGALIZACE!!!,3,dkod,
D3.1.1,Úvazky pracovníků zajišťujících vidimaci a legalizaci ZA ÚŘAD/MAGISTRÁT CELKEM,3,dkod,
D3.2,Vystavení vysvědčení o právní způsobilosti k uzavření manželství či registraci partnerství s cizincem,3,dkod,
D3.5,Změna jména a příjmení,3,dkod,
D3.6,Vystavení vícejazyčných standardních formulářů,3,dkod,
D3.7,"Zpětvzetí příjmení, dopsání druhého jména a příjmení v mužském tvaru",3,dkod,
D3.8,Žádosti o vystavení dokladů ze Zvláštní matriky Brno,3,dkod,
D3.9,Vystavení osvědčení pro uzavření sňatku před orgánem církve,3,dkod,
D3.10,Počet zápisů v knize narození - počet narození,3,dkod,
D3.11,Počet zápisů v knize manželství,3,dkod,
D3.11.2,Celkový počet žádostí o uzavření manželství a partnerství mimo stanovenou dobu a místo,3,dkod,
